Date,Temp high,Temp avg,Temp low,Visibility high,Visibility avg,Visibility low,Wind low,Wind avg,Wind high,Precipitation sum,Events
2016-01-01,31,25,19,10,10,9,22,14,28,T,Snow
2016-01-02,32,26,20,10,10,10,23,12,32,0,
2016-01-03,29,26,22,10,10,10,21,12,25,T,Snow
2016-01-04,31,27,22,10,9,3,20,10,23,T,Snow
2016-01-05,33,25,17,10,10,10,21,10,25,0,
2016-01-06,36,29,21,10,10,10,16,9,19,0,
2016-01-07,41,38,34,10,10,10,13,7,18,0.01,
2016-01-08,42,39,36,10,4,1,10,6,12,0.19,Rain
2016-01-09,40,32,23,8,3,0,26,10,32,0.27,"Fog , Rain , Snow"
2016-01-10,23,13,2,10,10,7,28,18,37,T,Snow
2016-01-11,24,12,-1,10,4,1,26,10,35,0.11,Snow
2016-01-12,20,12,3,10,8,1,26,16,34,0.01,Snow
2016-01-13,25,12,-2,10,10,8,18,9,23,T,Snow
2016-01-14,44,34,24,10,10,10,21,10,29,0,
2016-01-15,43,37,30,10,8,2,23,13,28,0.01,Rain
2016-01-16,30,20,9,10,10,10,25,14,32,0,
2016-01-17,8,4,-1,10,10,9,24,16,30,0,
2016-01-18,7,2,-4,10,10,10,20,14,26,0,
2016-01-19,17,9,0,10,10,10,15,6,18,0,
2016-01-20,23,18,12,10,7,1,9,4,11,0.05,Snow
2016-01-21,29,19,9,10,9,6,8,3,12,0,
2016-01-22,30,25,19,10,6,2,17,11,21,0.02,Snow
2016-01-23,33,27,20,10,10,9,14,6,18,T,Snow
2016-01-24,34,29,24,10,8,6,20,8,24,0,
2016-01-25,41,33,24,10,7,2,25,10,32,0.13,Rain
2016-01-26,36,30,24,10,9,4,28,17,35,0.02,"Rain , Snow"
2016-01-27,34,29,23,10,10,9,29,13,38,T,Snow
2016-01-28,39,34,29,10,10,10,22,15,29,T,
2016-01-29,35,28,20,10,10,10,23,11,30,T,Snow
2016-01-30,46,41,35,10,10,10,20,9,25,T,Rain
2016-01-31,48,41,33,10,7,4,18,8,24,0.02,Rain
,,,,,,,,,,,
,Temp high,Temp avg,Temp low,Visibility high,Visibility avg,Visibility low,Wind low,Wind avg,Wind high,Precipitation sum,Events
2016-02-01,45,38,30,10,9,6,10,5,16,0,
2016-02-02,38,35,32,7,3,0,33,11,40,0.79,"Fog , Rain , Thunderstorm"
2016-02-03,37,33,28,10,8,0,23,13,30,0.02,"Fog , Rain , Snow"
2016-02-04,32,26,19,10,10,10,16,9,21,0,
2016-02-05,34,30,25,10,10,8,17,7,19,T,
2016-02-06,41,32,24,10,9,7,17,8,22,0,
2016-02-07,43,38,32,10,10,9,22,13,29,0,
2016-02-08,32,26,20,10,7,1,20,11,25,0.02,Snow
2016-02-09,21,17,13,10,6,1,20,15,26,0.02,Snow
2016-02-10,18,14,9,10,10,10,21,11,26,0,
2016-02-11,21,14,7,10,10,10,15,7,18,0,
2016-02-12,23,15,7,10,10,7,30,17,37,T,Snow
2016-02-13,17,10,2,10,10,10,21,9,26,0,
2016-02-14,18,14,9,10,5,0,22,12,25,0.1,"Fog , Snow"
2016-02-15,27,23,18,9,4,2,12,7,14,0.01,Snow
2016-02-16,33,29,24,10,6,1,14,5,18,0.04,Snow
2016-02-17,34,28,21,10,9,6,13,6,15,0,
2016-02-18,42,33,23,10,10,9,26,15,35,0,
2016-02-19,62,52,41,10,10,10,45,27,62,0,
2016-02-20,57,48,38,10,10,10,22,12,29,0,
2016-02-21,41,35,29,10,10,10,17,9,22,0,
2016-02-22,44,35,26,10,10,10,13,4,15,0,
2016-02-23,45,36,26,10,9,6,17,7,24,0,
2016-02-24,36,34,32,10,4,0,32,23,44,0.15,"Fog , Snow"
2016-02-25,37,34,31,10,10,3,28,17,34,T,Snow
2016-02-26,33,29,24,10,10,10,15,9,18,T,
2016-02-27,54,41,28,10,10,8,24,15,32,0,
2016-02-28,62,49,36,10,10,7,31,20,41,0.08,Rain
2016-02-29,52,40,28,10,10,9,24,15,31,T,Rain
,,,,,,,,,,,
,Temp high,Temp avg,Temp low,Visibility high,Visibility avg,Visibility low,Wind low,Wind avg,Wind high,Precipitation sum,Events
2016-03-01,30,24,18,10,6,0,26,17,34,0.1,"Fog , Rain , Snow"
2016-03-02,32,22,11,10,9,2,15,7,18,T,Snow
2016-03-03,33,30,27,10,5,1,15,9,19,0.07,Snow
2016-03-04,39,30,20,10,8,1,18,7,21,0.07,Snow
2016-03-05,39,34,29,10,7,3,15,8,21,T,
2016-03-06,52,43,33,10,9,7,26,14,31,0,
2016-03-07,63,54,44,10,10,10,23,13,27,0.03,Rain
2016-03-08,70,64,58,10,10,10,26,17,34,T,Rain
2016-03-09,63,56,48,10,9,4,22,10,27,0.18,Rain
2016-03-10,51,44,37,10,10,9,13,7,18,0,
2016-03-11,55,45,34,10,10,10,12,5,16,0,
2016-03-12,59,46,33,10,7,2,12,5,14,T,Rain
2016-03-13,48,46,43,10,5,1,20,9,27,0.66,Rain
2016-03-14,55,49,43,10,6,1,14,5,16,0.01,Rain
2016-03-15,58,52,46,10,7,2,28,13,33,0.14,"Rain , Thunderstorm"
2016-03-16,56,51,45,10,10,5,41,23,53,0.04,"Rain , Thunderstorm"
2016-03-17,56,48,40,10,10,10,30,15,41,0,
2016-03-18,49,41,32,10,10,10,16,9,23,0,
2016-03-19,46,41,35,10,10,10,17,9,24,0,
2016-03-20,44,37,30,10,10,10,18,8,25,0,
2016-03-21,49,39,28,10,10,10,14,7,18,0,
2016-03-22,63,52,40,10,10,10,23,12,28,0,
2016-03-23,42,39,36,10,6,2,21,15,28,0.11,Rain
